Hook_ID,Hook_Text,Primary_Tone,Psychology_Triggers,Niche_Categories,Hook_Structure,Target_Audience,Content_Format,Hook_Length,Uses_Variables,Category
HOOK_026,Here's exactly how you're gonna lock in if you want to (insert dream result).,Direct/Informative,"Clarity/Certainty, Transformation/Aspiration",General/Universal,Direct Statement,Broad/General,General,77,Yes,EDUCATIONAL
HOOK_027,This is the same exact (insert thing) but the first is/got (insert result) and the second is/got X,Direct/Informative,"Transformation/Aspiration, Status/Achievement",General/Universal,Direct Statement,Broad/General,General,98,Yes,EDUCATIONAL
HOOK_028,If you want to end up (insert pain point) then skip this video.,Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration",General/Universal,Conditional/If-Then,Broad/General,Video,63,Yes,EDUCATIONAL
HOOK_029,We have never used (insert noun) in our home because we have found it to be generally (insert trait/traits).,Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration",Lifestyle/Family,Direct Statement,Variable/Customizable,General,108,Yes,EDUCATIONAL
HOOK_030,(insert action) for (insert period of time) and you will get (insert dream result).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,83,Yes,EDUCATIONAL
HOOK_031,If you're between the ages of (insert age) to (insert age) and you feel like (insert pain point).,Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration, Identity/Belonging",Life Advice/Personal Development,Conditional/If-Then,Age-Specific,General,97,Yes,EDUCATIONAL
HOOK_032,(insert before state) to (insert after state) in # simple steps in under # of seconds.,Transformational,"Quick Win/Instant Gratification, Transformation/Aspiration",General/Universal,Before/After Comparison,Broad/General,General,86,Yes,EDUCATIONAL
HOOK_033,If you're trying to (insert dream results) then here is the one (insert thing) you should do.,Direct/Informative,Transformation/Aspiration,General/Universal,Conditional/If-Then,Broad/General,General,93,Yes,EDUCATIONAL
HOOK_034,How long do you think you have to (insert action) to (insert result).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,69,Yes,EDUCATIONAL
HOOK_035,"If you want to do this, first do this.",Direct/Informative,"Transformation/Aspiration, Status/Achievement",General/Universal,Conditional/If-Then,Broad/General,General,38,No,EDUCATIONAL
HOOK_036,If you want to (insert dream result) a week for the next (insert weeks) without (insert pain point) then listen up.,Urgent,"Fear of Loss/Avoidance, Transformation/Aspiration",General/Universal,Conditional/If-Then,Broad/General,General,115,Yes,EDUCATIONAL
HOOK_037,If you just turned (insert age) and you don't want to (insert pain point) then you should do the following # things immediately.,Urgent,"Fear of Loss/Avoidance, Transformation/Aspiration, Identity/Belonging",Life Advice/Personal Development,Conditional/If-Then,Age-Specific,General,128,Yes,EDUCATIONAL
HOOK_038,You can have a perfect (insert dream result) by simply dumbing it down.,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,71,Yes,EDUCATIONAL
HOOK_039,"Did you know that this, this, this, and this get (insert dream result).",Direct/Informative,Transformation/Aspiration,General/Universal,Fact Reveal,Broad/General,General,71,Yes,EDUCATIONAL
HOOK_040,Don't start doing (insert action) until you learn how to do this.,Instructional,"Clarity/Certainty, Fear of Loss/Avoidance, Transformation/Aspiration",Skills/Education,Direct Statement,Broad/General,General,65,Yes,EDUCATIONAL
HOOK_041,(insert industry) tier list for (insert year).,Direct/Informative,Education/Value,Business/Career,Direct Statement,Broad/General,List/Ranking,46,Yes,EDUCATIONAL
HOOK_042,In 60 seconds i'm going to teach you more about (insert thing) than you have ever learned in your entire life.,Instructional,"Quick Win/Instant Gratification, Transformation/Aspiration",Skills/Education,Direct Statement,Broad/General,General,110,Yes,EDUCATIONAL
HOOK_043,Everyone tells you to (insert action) but no one actually shows you how to do it. Here is a # second step by step tutorial that you can save for later.,Instructional,"Clarity/Certainty, Transformation/Aspiration, Exclusivity/Insider Info",Skills/Education,Direct Statement,Broad/General,Tutorial,151,Yes,EDUCATIONAL
HOOK_044,"If you're in your (insert 20's, 30's, 40's, 50's, 60', etc) then these are the # of things you need to do to make sure you don't end up (insert pain point) by (insert age).",Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration, Identity/Belonging",Life Advice/Personal Development,Conditional/If-Then,Age-Specific,General,172,Yes,EDUCATIONAL
HOOK_045,"(Insert noun) loses (Insert noun) on this, so they can make (insert noun) on this.",Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,82,Yes,EDUCATIONAL
HOOK_046,You only have to be dialed in on # of things to be an elite (insert title).,Direct/Informative,"Transformation/Aspiration, Status/Achievement",General/Universal,Direct Statement,Broad/General,General,75,Yes,EDUCATIONAL
HOOK_047,(Insert noun) for dummies.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,26,No,EDUCATIONAL
HOOK_048,Don't hate me but I don't really mind (insert noun).,Edgy/Provocative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,52,Yes,EDUCATIONAL
HOOK_049,"If you want to do this, first do this.",Direct/Informative,"Transformation/Aspiration, Status/Achievement",General/Universal,Conditional/If-Then,Broad/General,General,38,No,EDUCATIONAL
HOOK_050,Best ways to save money while (insert action).,Direct/Informative,Transformation/Aspiration,Finance/Money,Direct Statement,Broad/General,General,46,Yes,EDUCATIONAL
HOOK_051,This is every way to (insert action).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,37,Yes,EDUCATIONAL
HOOK_052,What if I told you this (insert item) could (insert result).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,60,Yes,EDUCATIONAL
HOOK_053,"Did you know that if you (insert action), (Insert action), (insert action), etc.",Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,80,Yes,EDUCATIONAL
HOOK_054,The (insert thing) you have now in you (insert age group) is so (insert noun).,Direct/Informative,Identity/Belonging,Life Advice/Personal Development,Direct Statement,Age-Specific,General,78,Yes,EDUCATIONAL
HOOK_055,At age (insert age) the age that many (insert target audience) is when (insert pain point).,Direct/Informative,"Fear of Loss/Avoidance, Identity/Belonging",Life Advice/Personal Development,Direct Statement,Age-Specific,General,91,Yes,EDUCATIONAL
HOOK_056,Listen if you're not forcing your (insert person/persons) to (insert action) in their (insert current state) don't expect them to be (insert trait) in their (insert after state).,Transformational,"Fear of Loss/Avoidance, Transformation/Aspiration",General/Universal,Conditional/If-Then,Family-Oriented,General,178,Yes,EDUCATIONAL
HOOK_057,Would you rather watch your (insert person/persons) (insert pain point) or join them in their (insert niche) journey to save their lives?,Curious/Question,"Fear of Loss/Avoidance, Transformation/Aspiration, Curiosity Gap",Health/Wellness,Question,Family-Oriented,General,137,Yes,EDUCATIONAL
HOOK_059,If you don't want to fail (insert life event).,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Conditional/If-Then,Broad/General,General,46,Yes,EDUCATIONAL
HOOK_060,I crammed the hardest (insert noun) and (insert dream result).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,62,Yes,EDUCATIONAL
HOOK_061,If you're cooked for your (insert life event) but still can't find the motivation to do (insert action) you're gonna want to see this.,Direct/Informative,Education/Value,Food/Cooking,Conditional/If-Then,Broad/General,General,134,Yes,EDUCATIONAL
HOOK_062,"Here's the difference between (insert title), (insert title), and (insert title).",Comparative,Education/Value,General/Universal,Direct Statement,Variable/Customizable,General,81,Yes,EDUCATIONAL
HOOK_063,If I were in my (insert age range) here is exactly how I would avoid (insert bad result).,Direct/Informative,"Clarity/Certainty, Fear of Loss/Avoidance, Identity/Belonging",Life Advice/Personal Development,Conditional/If-Then,Age-Specific,General,89,Yes,EDUCATIONAL
HOOK_064,Here's every (insert noun) that you actually need to know.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,58,Yes,EDUCATIONAL
HOOK_065,The most important things I will teach my kids as a (insert job title).,Instructional,Identity/Belonging,"Life Advice/Personal Development, Skills/Education, Business/Career",Direct Statement,Family-Oriented,General,71,Yes,EDUCATIONAL
HOOK_066,If you can't solve this (insert problem) in under 5 seconds go back to (insert pre-qualifying stage).,Direct/Informative,"Quick Win/Instant Gratification, Identity/Belonging",Life Advice/Personal Development,Conditional/If-Then,Age-Specific,General,101,Yes,EDUCATIONAL
HOOK_067,30 seconds of (insert industry) advice I give my best friend if he/she were starting from scratch.,Direct/Informative,Quick Win/Instant Gratification,Business/Career,Direct Statement,Broad/General,General,98,Yes,EDUCATIONAL
HOOK_068,I would do this before quitting your job.,Transformational,Transformation/Aspiration,Business/Career,Direct Statement,Broad/General,General,41,No,EDUCATIONAL
HOOK_069,If you do this you'll (insert result).,Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,38,Yes,EDUCATIONAL
HOOK_070,If your a (insert target audience) who (insert pain point) and you want to (insert dream result) let's go over a very simple # step plan you can follow to quickly (insert dream result).,Direct/Informative,"Quick Win/Instant Gratification, Fear of Loss/Avoidance, Transformation/Aspiration",General/Universal,Conditional/If-Then,Variable/Customizable,General,185,Yes,EDUCATIONAL
HOOK_071,Here are 5 books to (insert dream result) better than 99% of other people.,Direct/Informative,"Transformation/Aspiration, Status/Achievement",General/Universal,Direct Statement,Broad/General,General,74,Yes,EDUCATIONAL
HOOK_072,If you're somebody who (insert action) and your goal is to (insert dream result) and (insert dream result) at the same time. Then here are my # best tips.,Direct/Informative,Transformation/Aspiration,Health/Fitness,Conditional/If-Then,Broad/General,General,154,Yes,EDUCATIONAL
HOOK_073,If you can't do (insert action).,Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,32,Yes,EDUCATIONAL
HOOK_074,"If you can do # of (insert action), than you can do # of (insert action).",Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,73,Yes,EDUCATIONAL
HOOK_075,"If your mom didn't teach you how to make (insert noun) growing up, don't worry i'm your mommy now.",Instructional,"Clarity/Certainty, Fear of Loss/Avoidance, Identity/Belonging","Life Advice/Personal Development, Skills/Education, Food/Cooking",Conditional/If-Then,Family-Oriented,DIY/How-To,98,Yes,EDUCATIONAL
HOOK_076,Never lose a game of (insert game) for the rest of your life.,Direct/Informative,Fear of Loss/Avoidance,Gaming/Entertainment,Direct Statement,Broad/General,General,61,Yes,EDUCATIONAL
HOOK_077,3 levels of (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,26,Yes,EDUCATIONAL
HOOK_078,"Did you know that if you ... (Insert action), (insert action), (insert action), etc",Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,83,Yes,EDUCATIONAL
HOOK_079,"I am a professional (insert industry) hacker, and here's every hack at (insert store/location/event/etc).",Revealing/Insider,"Curiosity/Forbidden Knowledge, Authority/Credibility","Business/Career, Product Reviews/Shopping",Direct Statement,Broad/General,Tips/Hacks,105,Yes,EDUCATIONAL
HOOK_080,I have a very long list of (insert noun) that I (insert action) that I gate keep from other people. But today I feel like giving back so I am going to tell you.,Revealing/Insider,"Curiosity/Forbidden Knowledge, Authority/Credibility, Exclusivity/Insider Info",General/Universal,Direct Statement,Broad/General,General,160,Yes,EDUCATIONAL
HOOK_081,I am going to teach you how to identify a good (insert noun) to a bad (insert noun).,Instructional,"Clarity/Certainty, Authority/Credibility",Skills/Education,Direct Statement,Broad/General,General,84,Yes,EDUCATIONAL
HOOK_082,I went to (insert school type) so you don't have to.,Direct/Informative,Fear of Loss/Avoidance,Skills/Education,Direct Statement,Broad/General,General,52,Yes,EDUCATIONAL
HOOK_083,"Ranking all the most popular (insert noun), so I can rank them from worst to best.",Ranking/Evaluative,Fear of Loss/Avoidance,General/Universal,Ranking/List,Broad/General,List/Ranking,82,Yes,EDUCATIONAL
HOOK_084,Here is how I (insert action) as a (insert label) (insert age).,Instructional,Identity/Belonging,Life Advice/Personal Development,Direct Statement,Age-Specific,General,63,Yes,EDUCATIONAL
HOOK_085,You wouldn't get (insert bad result) when you (insert action) if you (insert action).,Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,85,Yes,EDUCATIONAL
HOOK_086,This is harder than getting into Harvard.,Direct/Informative,Status/Achievement,General/Universal,Direct Statement,Broad/General,General,41,No,EDUCATIONAL
HOOK_087,Now how much does it really cost to (insert action).,Direct/Informative,Education/Value,Finance/Money,Direct Statement,Broad/General,Breakdown/Analysis,52,Yes,EDUCATIONAL
HOOK_088,This is why no one remembers you.,Direct/Informative,Exclusivity/Insider Info,General/Universal,Direct Statement,Broad/General,General,33,No,EDUCATIONAL
HOOK_089,"I'm 20 which means my teenage years are officially over, so here's everything I learned from the 7 most weirdest years of my life.",Instructional,Identity/Belonging,"Life Advice/Personal Development, Skills/Education",Direct Statement,Age-Specific,General,130,No,EDUCATIONAL
HOOK_090,If you're a (target audience) and you want to become (insert dream result) by (insert action) then listen to this video because you have such a big advantage and I will tell you how to conquer it.,Direct/Informative,"Clarity/Certainty, Transformation/Aspiration, Identity/Belonging",Life Advice/Personal Development,Conditional/If-Then,Age-Specific,Video,196,Yes,EDUCATIONAL
HOOK_091,If you take (insert noun) it will (insert result).,Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,50,Yes,EDUCATIONAL
HOOK_092,I just made a website called (insert the longest but most relatable website name).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,82,Yes,EDUCATIONAL
HOOK_093,How to turn just one (insert noun) into a lifetime of free (insert noun).,Direct/Informative,"Clarity/Certainty, Value/Money Saving",Finance/Money,Direct Statement,Broad/General,General,73,Yes,EDUCATIONAL
HOOK_094,Things that are damaging your (insert noun) without you even realizing it.,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,74,Yes,EDUCATIONAL
HOOK_095,If you have when you see a girl and she just has (insert dream result).,Direct/Informative,Transformation/Aspiration,General/Universal,Conditional/If-Then,Broad/General,General,71,Yes,EDUCATIONAL
HOOK_096,I've (insert dream result) despite having (insert pain point) and this is the routine that did it.,Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration, Authority/Credibility",General/Universal,Direct Statement,Broad/General,General,98,Yes,EDUCATIONAL
HOOK_097,Swap these (insert noun) for better (insert result).,Direct/Informative,Status/Achievement,General/Universal,Direct Statement,Broad/General,General,52,Yes,EDUCATIONAL
HOOK_098,"Did you know that this, this, and this target (insert dream result).",Direct/Informative,Transformation/Aspiration,General/Universal,Fact Reveal,Broad/General,General,68,Yes,EDUCATIONAL
HOOK_099,Your (insert noun) looks like this and you want them to look like this.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,71,Yes,EDUCATIONAL
HOOK_100,"(Insert last year) (insert noun), (insert current year) (insert noun).",Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,70,Yes,EDUCATIONAL
HOOK_101,"Okay (insert pain point), how about we don't f up (insert current year)",Edgy/Provocative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,71,Yes,EDUCATIONAL
HOOK_102,This is the program/steps I would follow if I was trying to (insert dream result).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,82,Yes,EDUCATIONAL
HOOK_103,"If your (insert noun) looks anything like this, these are not (insert noun) these are (insert noun) and here is how you can get (insert dream result).",Instructional,Transformation/Aspiration,General/Universal,Conditional/If-Then,Broad/General,General,150,Yes,EDUCATIONAL
HOOK_104,Here are some (insert action) you can do without (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,63,Yes,EDUCATIONAL
HOOK_105,Let's find out what (insert noun) you are in # steps.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,53,Yes,EDUCATIONAL
HOOK_106,Most people can only do (insert action) when trying to (insert action) but as an (insert title) you should be able to (insert action).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Variable/Customizable,General,134,Yes,EDUCATIONAL
HOOK_107,"As an (insert title) you should be able to do this, if you can't (insert diagnosis).",Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Variable/Customizable,General,84,Yes,EDUCATIONAL
HOOK_108,"If you're an (insert title) you should be able to do this, this, and this. If you can't I got you, just do this # step/routine/program to (insert dream result).",Direct/Informative,Transformation/Aspiration,General/Universal,Conditional/If-Then,Variable/Customizable,General,160,Yes,EDUCATIONAL
HOOK_109,I see so many people using their (insert noun) just like this or maybe like this even when you (insert action). So let me show you the trick to perfectly (insert action).,Instructional,Curiosity/Forbidden Knowledge,General/Universal,Direct Statement,Broad/General,Tips/Hacks,170,Yes,EDUCATIONAL
HOOK_110,Here's how the form of (insert noun) you add into (insert noun) affects them.,Direct/Informative,Clarity/Certainty,General/Universal,Direct Statement,Broad/General,General,77,Yes,EDUCATIONAL
HOOK_111,"Why (insert action) like a normal person, when you can be a psycho instead.",Edgy/Provocative,Education/Value,General/Universal,Direct Statement,Broad/General,General,75,Yes,EDUCATIONAL
HOOK_112,This is everything I got for free on my (insert event).,Direct/Informative,Value/Money Saving,Finance/Money,Direct Statement,Broad/General,General,55,Yes,EDUCATIONAL
HOOK_113,(insert noun) is my second (insert noun) so here are # of (insert noun) that I used to do a lot and I recommend my students as well.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,132,Yes,EDUCATIONAL
HOOK_114,If you gave me (insert time frame) to get a job as a (insert title) this is what I would do.,Direct/Informative,Education/Value,Business/Career,Direct Statement,Variable/Customizable,General,92,Yes,EDUCATIONAL
HOOK_115,"Did you know if you have a (insert noun), (insert noun), (insert noun), (insert noun), (insert noun) then you can (insert dream result).",Direct/Informative,Transformation/Aspiration,General/Universal,Conditional/If-Then,Broad/General,General,136,Yes,EDUCATIONAL
HOOK_116,If you're the person who told me this I could kiss you right now because it literally saved my life.,Urgent,Regret Prevention,General/Universal,Conditional/If-Then,Broad/General,General,100,No,EDUCATIONAL
HOOK_117,I bought all the (insert noun) so you could find out which are the best in each category and which is not worth your money.,Direct/Informative,Value/Money Saving,"Finance/Money, Product Reviews/Shopping",Direct Statement,Broad/General,General,123,Yes,EDUCATIONAL
HOOK_118,Here's how I get people the best (insert noun) on (insert noun).,Direct/Informative,Clarity/Certainty,General/Universal,Direct Statement,Broad/General,General,64,Yes,EDUCATIONAL
HOOK_119,Did you know that there are # types of (insert noun).,Direct/Informative,Education/Value,General/Universal,Fact Reveal,Broad/General,General,53,Yes,EDUCATIONAL
HOOK_120,Here's how you can guess an almost perfect number every single time.,Direct/Informative,Clarity/Certainty,General/Universal,Direct Statement,Broad/General,General,68,No,EDUCATIONAL
HOOK_121,Here is how I make (insert noun) that lasts up to (insert time frame) and only costs (insert $).,Instructional,Education/Value,"Finance/Money, Food/Cooking",Direct Statement,Broad/General,Breakdown/Analysis,96,Yes,EDUCATIONAL
HOOK_122,"I teach (insert noun) to people like they are in kindergarten, and it's time for class.",Instructional,Education/Value,Skills/Education,Direct Statement,Broad/General,General,87,Yes,EDUCATIONAL
HOOK_123,(insert noun) can be reversed so let's talk about # things you can do to improve your (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,100,Yes,EDUCATIONAL
HOOK_124,This is how much (insert noun) you would lose at the end of the day with a (insert metric) (insert noun).,Direct/Informative,Education/Value,Health/Fitness,Direct Statement,Broad/General,General,105,Yes,EDUCATIONAL
HOOK_125,Show me the method of the best way to (insert result).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,54,Yes,EDUCATIONAL
HOOK_126,# things everyone needs to know how to fix in an (insert location).,Direct/Informative,"Clarity/Certainty, Exclusivity/Insider Info",General/Universal,Direct Statement,Broad/General,General,67,Yes,EDUCATIONAL
HOOK_127,Why does nobody talk about the cost of (insert action).,Direct/Informative,Exclusivity/Insider Info,"Finance/Money, Health/Fitness",Direct Statement,Broad/General,Breakdown/Analysis,55,Yes,EDUCATIONAL
HOOK_128,Top # ways not to (insert action) to the (insert person) you (insert noun).,Direct/Informative,Education/Value,General/Universal,Ranking/List,Broad/General,General,75,Yes,EDUCATIONAL
HOOK_129,Top # deadliest (insert noun) that can kill (insert living thing) in one (insert verb).,Direct/Informative,Education/Value,General/Universal,Ranking/List,Broad/General,General,87,Yes,EDUCATIONAL
HOOK_130,So this is (insert weight) of (insert noun) if I (insert verb) that to a (insert noun) what is that equivalent to for humans.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,125,Yes,EDUCATIONAL
HOOK_131,What is this? This is your (insert description of visual) and this is this #1 reason that (insert noun) die.,Curious/Question,Curiosity Gap,General/Universal,Question,Variable/Customizable,General,108,Yes,EDUCATIONAL
HOOK_132,The easiest way to keep you (insert noun) (insert adjective) is to pretend ...,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,78,Yes,EDUCATIONAL
HOOK_133,If you're wanting to transfer your (insert noun) from this into (insert noun).,Direct/Informative,Education/Value,General/Universal,Conditional/If-Then,Broad/General,General,78,Yes,EDUCATIONAL
HOOK_134,Let's see how many (insert noun) we can get out of this.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,56,Yes,EDUCATIONAL
HOOK_135,This was the most popular (insert noun) in all of (insert year).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,64,Yes,EDUCATIONAL
HOOK_136,Did you know that you could (insert verb) a year's worth of (insert noun) in (insert time frame).,Direct/Informative,Education/Value,General/Universal,Fact Reveal,Broad/General,General,97,Yes,EDUCATIONAL
HOOK_137,That is crazy.,Shocking/Surprising,Social Proof/Virality,General/Universal,Direct Statement,Broad/General,General,14,No,EDUCATIONAL
HOOK_138,Give me 60 seconds to show you how to (insert action) for the first time after (insert life event).,Instructional,"Clarity/Certainty, Quick Win/Instant Gratification, Transformation/Aspiration",General/Universal,Direct Statement,Broad/General,General,99,Yes,EDUCATIONAL
HOOK_139,Want a (insert noun) that (insert dream result) even when you (insert action).,Direct/Informative,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,78,Yes,EDUCATIONAL
HOOK_140,"Mom/Dad of # of kids, here is how I treat being a mom/dad as a job.",Instructional,Identity/Belonging,"Life Advice/Personal Development, Business/Career",Direct Statement,Family-Oriented,General,67,No,EDUCATIONAL
HOOK_141,# minutes ago (insert pain point) and had (insert pain point).,Direct/Informative,"Quick Win/Instant Gratification, Fear of Loss/Avoidance",General/Universal,Direct Statement,Broad/General,General,62,Yes,EDUCATIONAL
HOOK_142,After (insert time frame) of research here is why I choose (insert noun) and started (insert action).,Transformational,Transformation/Aspiration,General/Universal,Direct Statement,Broad/General,General,101,Yes,EDUCATIONAL
HOOK_143,Does your (insert person) (insert action) like this?,Curious/Question,Curiosity Gap,General/Universal,Question,Broad/General,General,52,Yes,EDUCATIONAL
